iter	Passed	Remaining
412	3396	21278
413	3400	21239
414	3404	21208
415	3412	21199
416	3420	21186
417	3428	21179
418	3437	21173
419	3445	21163
420	3453	21154
421	3462	21152
422	3471	21146
423	3483	21162
424	3493	21167
425	3502	21160
426	3511	21160
427	3521	21159
428	3529	21150
429	3537	21145
430	3545	21135
431	3554	21129
432	3562	21118
433	3571	21117
434	3579	21108
435	3588	21100
436	3595	21089
437	3603	21076
438	3611	21067
439	3620	21064
440	3628	21056
441	3636	21046
442	3644	21037
443	3654	21037
444	3662	21027
445	3668	21007
446	3677	21001
447	3685	20995
448	3693	20982
449	3701	20973
450	3704	20936
451	3712	20925
452	3719	20910
453	3723	20880
454	3734	20887
455	3742	20880
456	3751	20873
457	3759	20863
458	3765	20843
459	3775	20847
460	3783	20839
461	3790	20821
462	3798	20816
463	3807	20809
464	3815	20800
465	3823	20789
466	3831	20781
467	3839	20774
468	3847	20764
469	3856	20758
470	3864	20747
471	3872	20740
472	3880	20733
473	3888	20724
474	3896	20715
475	3904	20703
476	3912	20696
477	3921	20689
478	3928	20678
479	3937	20672
480	3946	20666
481	3955	20661
482	3964	20657
483	3972	20648
484	3981	20647
485	3991	20649
486	4000	20641
487	4008	20632
488	4017	20627
489	4025	20620
490	4033	20612
491	4042	20607
492	4050	20596
493	4056	20577
494	4062	20557
495	4070	20551
496	4078	20539
497	4087	20535
498	4096	20531
499	4105	20525
500	4114	20522
501	4123	20516
502	4131	20510
503	4140	20503
504	4148	20495
505	4156	20489
506	4163	20473
507	4172	20468
508	4181	20461
509	4189	20456
510	4198	20449
511	4207	20444
512	4216	20439
513	4224	20430
514	4232	20423
515	4241	20417
516	4249	20411
517	4258	20404
518	4266	20397
519	4271	20373
520	4278	20358
521	4286	20349
522	4299	20363
523	4310	20367
524	4316	20348
525	4327	20352
526	4334	20340
527	4341	20328
528	4350	20319
529	4358	20311
530	4365	20297
531	4373	20289
532	4384	20292
533	4393	20289
534	4402	20283
535	4410	20275
536	4418	20267
537	4424	20247
538	4430	20226
539	4437	20216
540	4446	20209
541	4455	20203
542	4463	20194
543	4472	20190
544	4480	20182
545	4488	20173
546	4497	20168
547	4505	20159
548	4513	20150
549	4522	20144
550	4530	20135
551	4539	20129
552	4547	20123
553	4556	20117
554	4561	20096
555	4570	20089
556	4578	20082
557	4587	20074
558	4595	20066
559	4603	20056
560	4611	20050
561	4620	20044
562	4628	20036
563	4634	20018
564	4640	19997
565	4649	19996
566	4656	19983
567	4666	19979
568	4674	19971
569	4683	19965
570	4690	19953
571	4698	19944
572	4706	19936
573	4714	19924
574	4722	19916
575	4731	19910
576	4739	19903
577	4748	19896
578	4756	19889
579	4765	19882
580	4774	19877
581	4780	19861
582	4787	19847
583	4794	19836
584	4805	19837
585	4813	19828
586	4820	19816
587	4830	19814
588	4838	19804
589	4843	19785
590	4852	19777
591	4860	19769
592	4868	19763
593	4876	19753
594	4884	19745
595	4893	19736
596	4901	19730
597	4909	19718
598	4919	19717
599	4928	19712
600	4936	19703
601	4943	19690
602	4951	19683
603	4959	19674
604	4967	19666
605	4975	19655
606	4983	19646
607	4992	19641
608	4999	19629
609	5007	19618
610	5016	19612
611	5024	19607
612	5033	19600
613	5042	19594
614	5051	19588
615	5059	19580
616	5069	19580
617	5078	19574
618	5086	19564
619	5094	19558
620	5103	19549
621	5110	19538
622	5118	19528
623	5126	19519
624	5135	19516
625	5144	19508
626	5153	19504
627	5160	19491
628	5169	19484
629	5177	19476
630	5184	19463
631	5192	19454
632	5200	19446
633	5208	19438
634	5216	19426
635	5223	19414
636	5232	19408
637	5240	19402
638	5248	19391
639	5257	19385
640	5265	19376
641	5272	19363
642	5279	19354
643	5286	19341
644	5294	19331
645	5302	19322
646	5311	19316
647	5320	19310
648	5327	19300
649	5335	19289
650	5343	19282
651	5352	19275
652	5360	19268
653	5367	19255
654	5376	19248
655	5384	19240
656	5393	19234
657	5401	19226
658	5410	19220
659	5418	19212
660	5427	19206
661	5434	19194
662	5442	19185
663	5451	19178
664	5459	19169
665	5467	19159
666	5475	19151
667	5482	19140
668	5491	19132
669	5498	19122
670	5509	19121
671	5517	19112
672	5525	19106
673	5533	19096
674	5541	19087
675	5548	19074
676	5555	19062
677	5563	19054
678	5572	19047
679	5579	19034
680	5587	19027
681	5595	19017
682	5602	19006
683	5611	19000
684	5619	18991
685	5628	18986
686	5636	18978
687	5644	18969
688	5653	18961
689	5659	18947
690	5669	18944
691	5677	18936
692	5686	18930
693	5697	18932
694	5704	18919
695	5712	18911
696	5721	18904
697	5728	18891
698	5737	18886
699	5745	18877
700	5754	18871
701	5762	18863
702	5770	18854
703	5779	18848
704	5787	18841
705	5795	18831
706	5804	18826
707	5813	18819
708	5821	18811
709	5829	18800
710	5836	18791
711	5845	18785
712	5853	18776
713	5861	18765
714	5871	18762
715	5879	18754
716	5887	18747
717	5896	18740
718	5903	18729
719	5911	18720
720	5922	18720
721	5929	18708
722	5936	18696
723	5945	18689
724	5954	18683
725	5961	18672
726	5970	18666
727	5978	18657
728	5986	18648
729	5994	18639
730	6002	18632
731	6009	18620
732	6018	18614
733	6027	18608
734	6035	18599
735	6044	18594
736	6053	18587
737	6062	18580
738	6070	18572
739	6078	18563
740	6086	18555
741	6095	18548
742	6103	18540
743	6111	18530
744	6119	18523
745	6126	18509
746	6134	18500
747	6142	18492
748	6150	18484
749	6157	18472
750	6166	18466
751	6173	18454
752	6180	18443
753	6187	18431
754	6194	18420
755	6203	18412
756	6211	18404
757	6218	18391
758	6225	18382
759	6232	18370
760	6239	18358
761	6248	18352
762	6256	18343
763	6263	18332
764	6272	18324
765	6280	18318
766	6289	18311
767	6297	18302
768	6305	18294
769	6314	18286
770	6321	18276
771	6330	18269
772	6337	18258
773	6347	18254
774	6355	18247
775	6364	18240
776	6371	18228
777	6379	18220
778	6386	18208
779	6395	18201
780	6403	18192
781	6411	18185
782	6419	18177
783	6429	18171
784	6437	18163
785	6445	18156
786	6453	18145
787	6460	18135
788	6469	18128
789	6476	18117
790	6483	18106
791	6491	18096
792	6500	18090
793	6508	18084
794	6517	18076
795	6525	18069
796	6534	18062
797	6543	18055
798	6550	18043
799	6559	18037
800	6567	18030
801	6575	18020
802	6581	18007
