iter	Logloss
0	0.6529259155
1	0.6172164514
2	0.5833761686
3	0.5521199016
4	0.5236818002
5	0.4971690331
6	0.4724932368
7	0.4499047254
8	0.4294185269
9	0.411211085
10	0.3944835323
11	0.3788031753
12	0.3641600012
13	0.3508255069
14	0.3383307392
15	0.3269380822
16	0.3168355051
17	0.3076071407
18	0.298742895
19	0.2905465917
20	0.2831530712
21	0.2762670265
22	0.2702179127
23	0.2641795344
24	0.2589075799
25	0.2540202258
26	0.249643237
27	0.2454055734
28	0.2411306779
29	0.2372611397
30	0.234022158
31	0.2305269315
32	0.227473113
33	0.2247092311
34	0.2217716162
35	0.2194937097
36	0.2171414322
37	0.2147680803
38	0.2128601031
39	0.2106924846
40	0.2086035793
41	0.2067912713
42	0.2052590674
43	0.2038743696
44	0.2027663274
45	0.2013655556
46	0.1998391924
47	0.1988816595
48	0.1978537095
49	0.1966084622
50	0.1956790524
51	0.1947072117
52	0.1937876841
53	0.1927741283
54	0.1919613112
55	0.1912290155
56	0.1902791201
57	0.1894530792
58	0.1886466913
59	0.1878904917
60	0.1871495261
61	0.1866364635
62	0.1859192214
63	0.1854028545
64	0.1847993751
65	0.1842312245
66	0.1836302989
67	0.183108246
68	0.182733564
69	0.1822590272
70	0.1818147806
71	0.1813004811
72	0.1808200073
73	0.1804071589
74	0.1800102707
75	0.1795110906
76	0.179188043
77	0.1789140089
78	0.1785590112
79	0.1781040866
80	0.1777800944
81	0.1774652998
82	0.1769856979
83	0.1766022398
84	0.1762646339
85	0.1759489803
86	0.1755766878
87	0.1752935595
88	0.1750300961
89	0.1748238724
90	0.1745266983
91	0.1743075571
92	0.1740160293
93	0.1736501902
94	0.1734162776
95	0.1732452006
96	0.1730100993
97	0.1728196306
98	0.1725724314
99	0.1723787827
100	0.1721969918
101	0.1720680971
102	0.1717985164
103	0.1715980576
104	0.1713967893
105	0.1711853432
106	0.1708824867
107	0.1705376643
108	0.1703183606
109	0.170161163
110	0.1700130076
111	0.169741637
112	0.1695470482
113	0.1693925414
114	0.1692761783
115	0.1691734845
116	0.1690285973
117	0.168821511
118	0.1687186092
119	0.1685786802
120	0.1685052581
121	0.1683121682
122	0.1681162132
123	0.167985007
124	0.1678984937
125	0.1677496089
126	0.16759519
127	0.1675459874
128	0.1673141319
129	0.1671138166
130	0.166941364
131	0.1667392564
132	0.1666596878
133	0.1664985366
134	0.1663634946
135	0.1662618521
136	0.1660877192
137	0.1659875447
138	0.1658562245
139	0.1657371288
140	0.1656353169
141	0.1654404732
142	0.1653267091
143	0.1652774816
144	0.1651745657
145	0.165092075
146	0.1649400096
147	0.1648225267
148	0.1647606958
149	0.1645467363
150	0.1644363478
151	0.1643451479
152	0.1642686117
153	0.1641454512
154	0.164039298
155	0.1639510792
156	0.1638198562
157	0.1637468348
158	0.1636427378
159	0.1635476587
160	0.1633876515
161	0.1633487014
162	0.1632576108
163	0.1630331827
164	0.1629881573
165	0.1628830984
166	0.1626851332
167	0.1625696888
168	0.162472979
169	0.1624213831
170	0.1623284343
171	0.1622772819
172	0.1621161773
173	0.1620180579
174	0.161926425
175	0.1618542333
176	0.1617200331
177	0.1616382635
178	0.1615575778
179	0.1615186162
180	0.1614636975
181	0.1613633999
182	0.1613134018
183	0.1612393945
184	0.1611679569
185	0.1610337313
186	0.1609702
187	0.1609153157
188	0.1608670252
189	0.1607995421
190	0.1607148491
191	0.1606420478
192	0.1606039515
193	0.1605504747
194	0.1604926014
195	0.1604154855
196	0.1603523395
197	0.1602533493
198	0.1600849654
199	0.1600394212
200	0.1599913855
201	0.1599225233
202	0.1598304962
203	0.1597657975
204	0.1597212955
205	0.1596596593
206	0.1595976423
207	0.1595077317
208	0.1593449513
209	0.1592444442
210	0.1592258277
211	0.1590396335
212	0.1588691267
213	0.1587317373
214	0.1586862832
215	0.1585319049
216	0.1584894135
217	0.1583888527
218	0.1583008785
219	0.158234955
220	0.1581586302
221	0.1580688011
222	0.1578952597
223	0.1578120381
224	0.157776378
225	0.1577514268
226	0.1576689599
227	0.1575902867
228	0.1575084513
229	0.1574717217
230	0.1572795201
231	0.1571988163
232	0.1571598343
233	0.1571239717
234	0.1570732233
235	0.1570415913
236	0.1569800861
237	0.1569593676
238	0.1568970006
239	0.1568471499
240	0.1567386289
241	0.156691579
242	0.1566564675
243	0.1565905017
244	0.1565303637
245	0.1564997888
246	0.1564560955
247	0.1563875462
248	0.1563231331
249	0.1561268149
250	0.1560688797
251	0.1560159007
252	0.1559809313
253	0.155931876
254	0.1558987477
255	0.1558577827
256	0.1557782876
257	0.1556955723
258	0.1555997532
259	0.1555681096
260	0.155446923
261	0.1553789869
262	0.1553416857
263	0.1552629173
264	0.155235344
265	0.1551822026
266	0.1550934508
267	0.1550486777
268	0.1549858154
269	0.1549133869
270	0.154887115
271	0.1548196074
272	0.1547750799
273	0.1547098
274	0.1546567003
275	0.1546420292
276	0.1546234283
277	0.1545487411
278	0.1544270435
279	0.1543656008
280	0.1542346626
281	0.1541913532
282	0.1541342588
283	0.1540854164
284	0.1540092338
285	0.1539598473
286	0.1538805456
287	0.1538433637
288	0.1538085584
289	0.1537639515
290	0.1537032183
291	0.1536458319
292	0.1536207891
293	0.1535962649
294	0.153538485
295	0.1534920809
296	0.1534443767
297	0.1534218828
298	0.1533889632
299	0.1533571964
300	0.1533068213
301	0.1532461276
302	0.1532110017
303	0.1531620079
304	0.153110397
305	0.1530773214
306	0.1530098238
307	0.1529530662
308	0.152871748
309	0.1528391436
310	0.1527842677
311	0.1527203541
312	0.1526955254
313	0.1526351687
314	0.1526086064
315	0.152569651
316	0.1525227111
317	0.152466224
318	0.1524239845
319	0.1523914693
320	0.1523328744
321	0.152230637
322	0.1521935474
323	0.1521629447
324	0.1521374119
325	0.1520824437
326	0.1520173281
327	0.1519961241
328	0.1519575734
329	0.1518989299
330	0.1518636704
331	0.1517928822
332	0.1517301851
333	0.1516829601
334	0.1516354466
335	0.1514902645
336	0.1514167656
337	0.1513395744
338	0.1513121543
339	0.1512456874
340	0.1511825374
341	0.151121256
342	0.150954265
343	0.1509142399
344	0.1508644165
345	0.1508446318
346	0.1508040493
347	0.1507653563
348	0.1507010165
349	0.1505840103
350	0.150552481
351	0.150458042
352	0.1503274831
353	0.1501791129
354	0.1501041341
355	0.1500759389
356	0.1500351047
357	0.1499200546
358	0.1498778348
359	0.1498151293
360	0.1497551611
361	0.1496975646
362	0.1496593755
363	0.1496236352
364	0.1495489145
365	0.1495080456
366	0.1494654295
367	0.1493907386
368	0.149322838
369	0.1492821269
370	0.1492317377
371	0.1491566255
372	0.14911187
373	0.1490510399
374	0.1490117196
375	0.1489574645
376	0.1489055788
377	0.1488529494
378	0.148740487
379	0.148707727
380	0.1486720188
381	0.1485957156
382	0.1485659731
383	0.148525198
384	0.1484758978
385	0.1484288663
386	0.1483713937
387	0.1483215895
388	0.1482834647
389	0.1482302578
390	0.1481883732
391	0.148142849
392	0.1480993318
393	0.1480746311
394	0.1480229552
395	0.1479413915
396	0.1478818548
397	0.1478179629
398	0.1477717478
399	0.1477225009
400	0.1476588368
401	0.1476260658
402	0.1475838545
403	0.1475426611
404	0.1474997344
405	0.1474712322
406	0.1474249437
407	0.1473594797
408	0.1473196557
409	0.1472813649
410	0.1471887675
411	0.147131133
412	0.1470896324
413	0.1470460193
414	0.1470091652
415	0.1469813528
416	0.1468781715
417	0.1468474985
418	0.1467874125
419	0.146669482
420	0.1466045734
421	0.1464959341
422	0.1463959447
423	0.1463701829
424	0.1462772692
425	0.1462241911
426	0.1461662102
427	0.146123865
428	0.1460624641
429	0.1460219097
430	0.1458879259
431	0.1457618632
432	0.1457405564
433	0.1456147594
434	0.1455763892
435	0.1455257376
436	0.1454988606
437	0.1454411988
438	0.1453932401
439	0.1452765514
440	0.1452167394
441	0.1451927439
442	0.1451651882
443	0.1451175095
444	0.1450707233
445	0.1449543568
446	0.1449226533
447	0.1448408076
448	0.1447912206
449	0.1447400043
450	0.1447154969
451	0.1446590819
452	0.1446140753
453	0.1445926322
454	0.1444867864
455	0.144453081
456	0.1444075342
457	0.1443882475
458	0.1443444252
459	0.1443052039
460	0.1442100843
461	0.1441749488
462	0.1441377975
463	0.1441211912
464	0.1440782134
465	0.1440589699
466	0.1440197345
467	0.1439957445
468	0.1438892522
469	0.1438510484
470	0.1438196797
471	0.1437736314
472	0.1436888289
473	0.143665022
474	0.1436407359
475	0.1436102706
476	0.1435817824
477	0.1435098814
478	0.1434493122
479	0.1434232558
480	0.1433392295
481	0.1432187436
482	0.1431758226
483	0.1431551334
484	0.1431246224
485	0.143085201
486	0.1429764365
487	0.1428808805
488	0.1428304891
489	0.142803521
490	0.1427856576
491	0.1427423237
492	0.142707132
493	0.1426463512
494	0.142622165
495	0.1425140305
496	0.1424785761
497	0.1424470678
498	0.1424252327
499	0.1423875714
500	0.142338848
501	0.1422533563
502	0.1422171099
503	0.1421783033
504	0.1421512318
505	0.1421369419
506	0.1421159351
507	0.1420717794
508	0.1420360532
509	0.1420195138
510	0.1419943307
511	0.1419651433
512	0.1419425318
513	0.1419014041
514	0.141874315
515	0.1418144858
516	0.1417780424
517	0.1417362652
518	0.1416946418
519	0.1416276601
520	0.1415473305
521	0.1414746629
522	0.1414116873
523	0.1413724458
524	0.141298708
525	0.1412597694
526	0.1412266689
527	0.1411842337
528	0.1411461812
529	0.1410628347
530	0.1410351991
531	0.1409840688
532	0.1409709635
533	0.1409339419
534	0.1408850261
535	0.1408214159
536	0.1407919115
537	0.1407582669
538	0.1407357487
539	0.1406744023
540	0.1406221459
541	0.1405798155
542	0.1404846358
543	0.1404377908
544	0.1403835969
545	0.140358245
546	0.1402728731
547	0.1402208823
548	0.1401417513
549	0.1400790794
550	0.1400339048
551	0.1400007917
552	0.1399853443
553	0.1399538154
554	0.1399251786
555	0.139899874
556	0.1398835387
557	0.1398358936
558	0.1398236699
559	0.1397921126
560	0.1397583267
561	0.1397167095
562	0.1396415304
563	0.1395858552
564	0.1395672997
565	0.1395175681
566	0.1394492845
567	0.1394375221
568	0.1394252017
569	0.139336637
570	0.1393028222
571	0.1392439204
572	0.139179082
573	0.1391322121
574	0.1390768503
575	0.1390511907
576	0.1389889112
577	0.1389051113
578	0.1388549834
579	0.138811613
580	0.1387796628
581	0.1387044609
582	0.138671275
583	0.1385942588
584	0.1385420309
585	0.1385032551
586	0.1384726422
587	0.1384365186
588	0.1383912266
589	0.13831471
590	0.1382383379
591	0.1382076408
592	0.1381329395
593	0.1381102835
594	0.1380750672
595	0.1380144745
596	0.1379754372
597	0.137922551
598	0.1378827182
599	0.1378662162
600	0.1377977605
601	0.1377386804
602	0.1376913292
603	0.1376696287
604	0.1376413982
605	0.1375972278
606	0.1375415169
607	0.1374833217
608	0.1374165599
609	0.1373971141
610	0.1373451228
611	0.1373146199
612	0.1372326142
613	0.1372128888
614	0.1371743305
615	0.1371428752
616	0.137105923
617	0.1370680287
618	0.1370290983
619	0.1369946127
620	0.1369772441
621	0.1369323208
622	0.1368959871
623	0.136881748
624	0.1368547145
625	0.1368269776
626	0.1367914128
627	0.1367603307
628	0.136707218
629	0.1366670563
630	0.1366000776
631	0.1365345405
632	0.1364933303
633	0.1364521503
634	0.1364388034
635	0.1363896042
636	0.1363532815
637	0.1363145314
638	0.1362525854
639	0.1362233298
640	0.1361874793
641	0.1361626206
642	0.1361285939
643	0.1360810767
644	0.1360557087
645	0.1359955601
646	0.135972932
647	0.1359351422
648	0.1359034554
649	0.1358451372
650	0.1358345296
651	0.135811686
652	0.1357759179
653	0.1357674174
654	0.1357478399
655	0.1357063248
656	0.1356765683
657	0.1356370517
658	0.1355718596
659	0.1355179504
660	0.1354648024
661	0.1354165155
662	0.1353899461
663	0.1353416576
664	0.1353241276
665	0.1352939309
666	0.1352638387
667	0.1352273675
668	0.1352060393
669	0.1351533233
670	0.1351018505
671	0.1350579835
672	0.1350210309
673	0.1349801105
674	0.1349633682
675	0.1349234725
676	0.1348827294
677	0.1348250432
678	0.1347919395
679	0.1347561327
680	0.1347166376
681	0.1346541686
682	0.1346227817
683	0.1346130218
684	0.1345721554
685	0.1345502487
686	0.1345072806
687	0.1344558153
688	0.1344273232
689	0.1343951469
690	0.1343474914
691	0.1343076773
692	0.1342772425
693	0.1342516998
694	0.1342183295
695	0.1341805226
696	0.1341277788
697	0.134075686
698	0.1340698308
699	0.1340429372
700	0.1340055274
701	0.1339780873
702	0.1339486971
703	0.1339006169
704	0.133851658
705	0.1338175006
706	0.1338008681
707	0.1337611051
708	0.1337245169
709	0.133687862
710	0.1336818719
711	0.1336502847
712	0.1336270646
713	0.1335819199
714	0.1335452648
715	0.133463481
716	0.1334078668
717	0.1333751318
718	0.1333499726
719	0.1333189729
720	0.1332914578
721	0.13326591
722	0.1332333979
723	0.1331788723
724	0.1331371235
725	0.1331027793
726	0.1330784535
727	0.1330441432
728	0.1329996987
729	0.1329409632
730	0.132916683
731	0.1328831048
732	0.1328383111
733	0.1327626461
734	0.1327367578
735	0.1327111627
736	0.1326842474
737	0.1326131767
738	0.1325711125
739	0.1325514907
740	0.132501521
741	0.1324639611
742	0.1324005415
743	0.1323668945
744	0.1323401328
745	0.1323144443
746	0.132305447
747	0.1322717629
748	0.1322464808
749	0.1322224977
750	0.1321745786
751	0.1321374357
752	0.1320999401
753	0.1320600794
754	0.1320200216
755	0.1319868465
756	0.1319482516
757	0.1319054711
758	0.1318770691
759	0.1318440088
760	0.1317958814
761	0.1317579482
762	0.1317263039
763	0.1317062566
764	0.1316735199
765	0.1316396438
766	0.1315911449
767	0.1315428631
768	0.131501371
769	0.1314715064
770	0.131407037
771	0.1313765369
772	0.1313290047
773	0.1313204762
774	0.1312565652
775	0.1311983803
776	0.1311341214
777	0.1311091935
778	0.1310661012
779	0.1310286819
780	0.1309904123
781	0.130952005
782	0.1309094929
783	0.1308820104
784	0.1308629632
785	0.1308297072
786	0.1308031525
787	0.1307715998
788	0.1307139907
789	0.1306841231
790	0.1306533194
791	0.1306229597
792	0.1305834816
793	0.1305462214
794	0.1305214981
795	0.1304983976
796	0.1304390029
797	0.130424413
798	0.1303999749
799	0.1303425638
800	0.1303141917
801	0.1302775541
802	0.1302540445
803	0.1302282945
804	0.1302043179
805	0.1301632471
806	0.1301233546
807	0.1300822327
808	0.130042716
809	0.1300088919
810	0.1299805084
811	0.1299459237
812	0.1299162375
813	0.1298811049
814	0.1298514309
815	0.1298115173
816	0.1297893235
817	0.1297632347
818	0.1297094979
819	0.1296741099
820	0.1296518222
821	0.1295956581
822	0.1295591441
823	0.1295201602
824	0.1294933743
825	0.1294666962
826	0.129446947
827	0.1294321569
828	0.1294019365
829	0.1293655043
830	0.1293436221
831	0.1293011938
832	0.1292696094
833	0.1292262964
834	0.1292012385
835	0.1291577192
836	0.1291439177
837	0.1290941286
838	0.1290753424
839	0.1290362839
840	0.1290074653
841	0.1289679898
842	0.1289452246
843	0.1289160572
844	0.1288801298
845	0.1288482329
846	0.1288241109
847	0.1288164178
848	0.1287741545
849	0.1287393736
850	0.1287210467
851	0.1287100666
852	0.1286937411
853	0.1286698925
854	0.1286172568
855	0.1285704315
856	0.1285318798
857	0.1285049172
858	0.1284939514
859	0.1284573753
860	0.1284348643
861	0.1283976937
862	0.1283628667
863	0.1283302743
864	0.128278586
865	0.1282441619
866	0.1281887954
867	0.1281415973
868	0.1281177276
869	0.1280809113
870	0.1280583169
871	0.1280433005
872	0.1280150834
873	0.1279782286
874	0.1279544911
875	0.1279468938
876	0.1279162835
877	0.1278800435
878	0.1278507411
879	0.1278232145
880	0.127788998
881	0.127763804
882	0.1277314184
883	0.1276925797
884	0.1276503151
885	0.1276151485
886	0.1275950013
887	0.1275848618
888	0.1275487579
889	0.1275408199
890	0.1274857693
891	0.12745698
892	0.1274322058
893	0.1274039655
894	0.1273548076
895	0.1273177805
896	0.1272928817
897	0.1272680317
898	0.1272325816
899	0.127207611
900	0.127175429
901	0.1271438138
902	0.1271093961
903	0.127069292
904	0.127038554
905	0.1269899317
906	0.1269798699
907	0.1269399069
908	0.1269167523
909	0.1269034869
910	0.1268704241
911	0.1268497775
912	0.1268131364
913	0.12678978
914	0.1267632584
915	0.1267500457
916	0.1267321349
917	0.1267019747
918	0.1266734093
919	0.1266519876
920	0.1266111984
921	0.126593961
922	0.1265589188
923	0.1265310598
924	0.1264990825
925	0.1264831543
926	0.1264324851
927	0.1264096866
928	0.1263801137
929	0.1263463455
930	0.1262937367
931	0.1262650992
932	0.1262399507
933	0.1262250025
934	0.1261792762
935	0.1261619031
936	0.1261227051
937	0.1260951515
938	0.1260560285
939	0.1260470845
940	0.1260149114
941	0.1259849793
942	0.1259549888
943	0.125918697
944	0.125874987
945	0.125848819
946	0.1258359736
947	0.1258108974
948	0.1257798436
949	0.1257532137
950	0.125741717
951	0.1257167566
952	0.1256931107
953	0.1256763632
954	0.1256469764
955	0.1256152047
956	0.1255941066
957	0.1255614826
958	0.125528659
959	0.12549169
960	0.1254517364
961	0.1254052144
962	0.1253730236
963	0.1253434445
964	0.1253209527
965	0.12529178
966	0.1252615192
967	0.1252365677
968	0.1252136139
969	0.1251932912
970	0.1251741421
971	0.1251631426
972	0.1251427226
973	0.1251195484
974	0.1251084949
975	0.1250787519
976	0.1250491564
977	0.1250260025
978	0.1250025864
979	0.1249713638
980	0.124937957
981	0.1249048758
982	0.124879009
983	0.1248420899
984	0.1248103848
985	0.1248009977
986	0.1247707592
987	0.1247414608
988	0.1246980329
989	0.1246780729
990	0.1246522611
991	0.1246230855
992	0.124609026
993	0.1245792014
994	0.1245443004
995	0.1245109566
996	0.1244778329
997	0.1244374834
998	0.1244278017
999	0.1244004375
