iter	Passed	Remaining
422	2199	3000
423	2205	2995
424	2210	2990
425	2215	2985
426	2220	2979
427	2225	2974
428	2230	2968
429	2234	2962
430	2239	2957
431	2244	2951
432	2249	2945
433	2254	2940
434	2259	2934
435	2264	2928
436	2268	2923
437	2273	2917
438	2279	2912
439	2285	2908
440	2291	2904
441	2297	2900
442	2303	2896
443	2311	2895
444	2316	2889
445	2322	2884
446	2327	2879
447	2332	2874
448	2337	2868
449	2343	2864
450	2348	2858
451	2353	2853
452	2358	2848
453	2363	2842
454	2369	2837
455	2374	2832
456	2379	2826
457	2384	2821
458	2389	2816
459	2394	2811
460	2400	2806
461	2404	2800
462	2410	2795
463	2415	2790
464	2421	2785
465	2425	2779
466	2431	2775
467	2438	2771
468	2443	2766
469	2448	2761
470	2453	2755
471	2458	2750
472	2463	2744
473	2468	2738
474	2473	2733
475	2478	2728
476	2483	2722
477	2488	2717
478	2493	2711
479	2498	2706
480	2502	2700
481	2507	2694
482	2512	2689
483	2516	2683
484	2521	2677
485	2526	2672
486	2531	2666
487	2536	2661
488	2541	2655
489	2546	2650
490	2550	2644
491	2555	2638
492	2560	2632
493	2565	2627
494	2570	2622
495	2574	2616
496	2579	2610
497	2584	2605
498	2589	2599
499	2594	2594
500	2599	2588
501	2604	2583
502	2609	2578
503	2614	2572
504	2619	2567
505	2625	2563
506	2633	2560
507	2642	2558
508	2648	2554
509	2653	2549
510	2657	2543
511	2662	2537
512	2667	2532
513	2671	2526
514	2676	2520
515	2681	2515
516	2686	2509
517	2692	2505
518	2697	2500
519	2702	2494
520	2707	2489
521	2712	2483
522	2717	2478
523	2723	2473
524	2728	2468
525	2733	2463
526	2738	2458
527	2743	2452
528	2749	2447
529	2754	2442
530	2760	2438
531	2766	2433
532	2771	2428
533	2776	2422
534	2781	2417
535	2786	2411
536	2791	2406
537	2795	2400
538	2800	2395
539	2805	2389
540	2810	2384
541	2815	2378
542	2819	2373
543	2824	2367
544	2829	2362
545	2834	2356
546	2839	2351
547	2843	2345
548	2848	2340
549	2854	2335
550	2858	2329
551	2863	2324
552	2868	2318
553	2872	2312
554	2877	2307
555	2882	2301
556	2886	2296
557	2891	2290
558	2896	2284
559	2900	2279
560	2905	2273
561	2910	2268
562	2915	2263
563	2920	2257
564	2925	2252
565	2931	2247
566	2937	2242
567	2941	2237
568	2946	2231
569	2951	2226
570	2956	2220
571	2960	2215
572	2965	2210
573	2971	2205
574	2976	2199
575	2980	2194
576	2986	2189
577	2990	2183
578	2995	2178
579	3000	2172
580	3005	2167
581	3010	2161
582	3014	2156
583	3019	2150
584	3024	2145
585	3029	2140
586	3034	2135
587	3039	2129
588	3044	2124
589	3049	2119
590	3054	2113
591	3059	2108
592	3064	2103
593	3069	2097
594	3073	2092
595	3078	2086
596	3083	2081
597	3088	2076
598	3093	2071
599	3098	2065
600	3103	2060
601	3108	2055
602	3114	2050
603	3119	2045
604	3124	2039
605	3129	2034
606	3135	2029
607	3140	2024
608	3144	2019
609	3149	2013
610	3154	2008
611	3159	2003
612	3165	1998
613	3170	1993
614	3175	1988
615	3180	1982
616	3185	1977
617	3190	1971
618	3194	1966
619	3199	1960
620	3204	1955
621	3209	1950
622	3213	1944
623	3218	1939
624	3223	1933
625	3227	1928
626	3232	1922
627	3237	1917
628	3242	1912
629	3246	1906
630	3251	1901
631	3256	1896
632	3261	1890
633	3266	1885
634	3270	1880
635	3275	1874
636	3280	1869
637	3285	1864
638	3290	1858
639	3294	1853
640	3299	1847
641	3304	1842
642	3308	1836
643	3313	1831
644	3318	1826
645	3322	1820
646	3327	1815
647	3332	1810
648	3337	1804
649	3341	1799
650	3345	1793
651	3350	1788
652	3355	1783
653	3360	1777
654	3364	1772
655	3369	1767
656	3374	1761
657	3379	1756
658	3384	1751
659	3389	1745
660	3394	1740
661	3398	1735
662	3404	1730
663	3409	1725
664	3414	1719
665	3419	1714
666	3424	1709
667	3429	1704
668	3433	1698
669	3438	1693
670	3443	1688
671	3448	1683
672	3453	1677
673	3458	1672
674	3462	1667
675	3467	1661
676	3472	1656
677	3476	1651
678	3481	1645
679	3486	1640
680	3491	1635
681	3496	1630
682	3500	1624
683	3505	1619
684	3510	1614
685	3514	1608
686	3519	1603
687	3524	1598
688	3529	1592
689	3533	1587
690	3538	1582
691	3543	1577
692	3548	1571
693	3552	1566
694	3558	1561
695	3563	1556
696	3568	1551
697	3572	1545
698	3577	1540
699	3582	1535
700	3587	1530
701	3591	1524
702	3597	1519
703	3602	1514
704	3607	1509
705	3612	1504
706	3616	1498
707	3621	1493
708	3626	1488
709	3631	1483
710	3636	1477
711	3640	1472
712	3645	1467
713	3650	1462
714	3655	1456
715	3659	1451
716	3664	1446
717	3669	1441
718	3674	1436
719	3679	1430
720	3683	1425
721	3688	1420
722	3693	1414
723	3697	1409
724	3703	1404
725	3707	1399
726	3712	1394
727	3717	1388
728	3722	1383
729	3727	1378
730	3732	1373
731	3737	1368
732	3741	1363
733	3746	1357
734	3751	1352
735	3756	1347
736	3760	1342
737	3765	1336
738	3770	1331
739	3775	1326
740	3779	1321
741	3784	1315
742	3789	1310
743	3793	1305
744	3798	1300
745	3802	1294
746	3807	1289
747	3812	1284
748	3817	1279
749	3821	1273
750	3826	1268
751	3831	1263
752	3836	1258
753	3841	1253
754	3846	1248
755	3851	1242
756	3856	1237
757	3860	1232
758	3865	1227
759	3870	1222
760	3875	1217
761	3880	1211
762	3885	1206
763	3889	1201
764	3895	1196
765	3899	1191
766	3905	1186
767	3910	1181
768	3915	1176
769	3920	1170
770	3924	1165
771	3929	1160
772	3934	1155
773	3938	1150
774	3943	1144
775	3948	1139
776	3953	1134
777	3958	1129
778	3962	1124
779	3967	1119
780	3972	1113
781	3977	1108
782	3982	1103
783	3987	1098
784	3992	1093
785	3996	1088
786	4001	1082
787	4006	1077
788	4011	1072
789	4015	1067
790	4020	1062
791	4025	1057
792	4030	1052
793	4037	1047
794	4043	1042
795	4048	1037
796	4054	1032
797	4059	1027
798	4064	1022
799	4068	1017
800	4073	1012
801	4078	1006
802	4083	1001
803	4089	996
804	4093	991
805	4098	986
806	4102	981
807	4106	975
808	4111	970
809	4116	965
810	4121	960
811	4126	955
812	4131	950
813	4136	945
814	4140	939
815	4145	934
816	4150	929
817	4155	924
818	4159	919
819	4164	914
820	4169	909
821	4176	904
822	4180	899
823	4185	894
824	4190	888
825	4195	883
826	4199	878
827	4204	873
828	4209	868
829	4214	863
830	4219	858
831	4224	853
832	4229	847
833	4234	842
834	4239	837
835	4244	832
836	4248	827
837	4253	822
838	4258	817
839	4263	812
840	4268	806
841	4273	801
842	4277	796
843	4282	791
844	4287	786
845	4292	781
846	4297	776
847	4301	771
848	4306	765
849	4311	760
850	4315	755
851	4320	750
852	4325	745
853	4330	740
854	4334	735
855	4339	730
856	4344	724
857	4349	719
858	4353	714
859	4358	709
860	4363	704
861	4367	699
862	4373	694
863	4380	689
864	4385	684
865	4389	679
866	4395	674
867	4400	669
868	4404	664
869	4409	658
870	4414	653
871	4419	648
872	4423	643
873	4428	638
874	4433	633
875	4438	628
876	4442	623
877	4447	617
878	4452	612
879	4457	607
880	4462	602
881	4466	597
882	4471	592
883	4476	587
884	4481	582
885	4486	577
886	4490	572
887	4495	566
888	4500	561
889	4504	556
890	4509	551
891	4514	546
892	4519	541
893	4524	536
894	4530	531
895	4535	526
896	4540	521
897	4546	516
898	4551	511
899	4556	506
900	4561	501
901	4565	496
902	4570	490
903	4576	485
904	4580	480
905	4585	475
906	4590	470
907	4595	465
908	4600	460
909	4605	455
910	4609	450
911	4614	445
912	4619	440
913	4623	435
914	4628	429
915	4633	424
916	4638	419
917	4643	414
918	4648	409
919	4653	404
920	4658	399
921	4663	394
922	4667	389
923	4672	384
924	4677	379
925	4682	374
926	4687	369
927	4691	364
928	4696	358
929	4701	353
930	4706	348
931	4711	343
932	4716	338
933	4720	333
934	4725	328
935	4730	323
936	4735	318
937	4740	313
938	4745	308
939	4750	303
940	4754	298
941	4759	293
942	4764	287
943	4769	282
944	4774	277
945	4779	272
946	4783	267
947	4788	262
948	4793	257
949	4797	252
950	4802	247
951	4807	242
952	4812	237
953	4817	232
954	4821	227
955	4826	222
956	4831	217
957	4836	212
958	4840	206
959	4845	201
960	4850	196
961	4855	191
962	4860	186
963	4865	181
964	4870	176
965	4875	171
966	4879	166
967	4885	161
968	4890	156
969	4895	151
970	4899	146
971	4904	141
972	4909	136
973	4914	131
974	4918	126
975	4923	121
976	4928	116
977	4933	110
978	4938	105
979	4942	100
980	4947	95
981	4952	90
982	4957	85
983	4962	80
984	4967	75
985	4972	70
986	4977	65
987	4982	60
988	4986	55
989	4991	50
990	4996	45
991	5001	40
992	5006	35
993	5011	30
994	5016	25
995	5021	20
996	5026	15
997	5031	10
998	5035	5
999	5040	0
